2026-06-04T08:42:52.000373Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:42:52.000479Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.243651Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:52.244188Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.244834Z DEBUG internalvoice: Received audio response from Gemini (15360 bytes)
2026-06-04T08:42:52.245048Z DEBUG internalvoice::audio: Enqueuing 10584 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.245119Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:52.245171Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.245277Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:52.245505Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.245597Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:52.245740Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.364655Z DEBUG internalvoice: Received audio response from Gemini (15360 bytes)
2026-06-04T08:42:52.364853Z DEBUG internalvoice::audio: Enqueuing 10584 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.385250Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:52.385422Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.389287Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:52.389341Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.405028Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:52.405182Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.422264Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:52.422419Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.436983Z DEBUG internalvoice: Received audio response from Gemini (5120 bytes)
2026-06-04T08:42:52.437084Z DEBUG internalvoice::audio: Enqueuing 3528 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.465086Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:52.465199Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.508971Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:52.509178Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.539219Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:42:52.539333Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.636767Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:52.636945Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.845538Z DEBUG internalvoice: Received audio response from Gemini (25600 bytes)
2026-06-04T08:42:52.845985Z DEBUG internalvoice::audio: Enqueuing 17640 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.846130Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:52.846232Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.846303Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:52.846517Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.846662Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:52.846762Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.904428Z DEBUG internalvoice: Received audio response from Gemini (17920 bytes)
2026-06-04T08:42:52.904653Z DEBUG internalvoice::audio: Enqueuing 12348 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.904715Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:52.904749Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.994152Z DEBUG internalvoice: Received audio response from Gemini (23040 bytes)
2026-06-04T08:42:52.994427Z DEBUG internalvoice::audio: Enqueuing 15875 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.995464Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:52.995515Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.292215Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:42:53.292407Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.292608Z DEBUG internalvoice: Received audio response from Gemini (20480 bytes)
2026-06-04T08:42:53.292966Z DEBUG internalvoice::audio: Enqueuing 14112 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.293164Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:53.293295Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.293420Z DEBUG internalvoice: Received audio response from Gemini (23040 bytes)
2026-06-04T08:42:53.293615Z DEBUG internalvoice::audio: Enqueuing 15875 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.293674Z DEBUG internalvoice: Received audio response from Gemini (5120 bytes)
2026-06-04T08:42:53.293734Z DEBUG internalvoice::audio: Enqueuing 3528 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.333845Z DEBUG internalvoice: Received audio response from Gemini (5120 bytes)
2026-06-04T08:42:53.333933Z DEBUG internalvoice::audio: Enqueuing 3528 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.412251Z DEBUG internalvoice: Received audio response from Gemini (20480 bytes)
2026-06-04T08:42:53.412458Z DEBUG internalvoice::audio: Enqueuing 14112 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.488594Z DEBUG internalvoice: Received audio response from Gemini (17920 bytes)
2026-06-04T08:42:53.488791Z DEBUG internalvoice::audio: Enqueuing 12348 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.586447Z DEBUG internalvoice: Received audio response from Gemini (17920 bytes)
2026-06-04T08:42:53.586640Z DEBUG internalvoice::audio: Enqueuing 12348 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.685367Z DEBUG internalvoice: Received audio response from Gemini (23040 bytes)
2026-06-04T08:42:53.685598Z DEBUG internalvoice::audio: Enqueuing 15875 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.818057Z DEBUG internalvoice: Received audio response from Gemini (17920 bytes)
2026-06-04T08:42:53.818287Z DEBUG internalvoice::audio: Enqueuing 12348 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.818326Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:53.818361Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.823117Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:53.823262Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.857185Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:53.857383Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.985154Z DEBUG internalvoice: Received audio response from Gemini (20480 bytes)
2026-06-04T08:42:53.985490Z DEBUG internalvoice::audio: Enqueuing 14112 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:53.985606Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
